,template,run,mean,source_data,bw,paylen,impl_head,has_crc,cr,frames,frame_period,delay_sf1,delay_sf2,delay_sf3,delay_sf4,delay_sf5,delay_sf6,num_right,num_total,num_dec,num_per,time,load,data_rate
51,lora_sim_multi2,0,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,16,30,26,53.333333333333336,4.8249711990356445,14.09,397.929836427572
52,lora_sim_multi2,1,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,21,30,25,70.0,8.199378967285156,18.32,234.1640760429102
53,lora_sim_multi2,1,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,26,30,28,86.66666666666667,8.442227602005005,21.67,227.42812566958102
54,lora_sim_multi2,2,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,26,30,27,86.66666666666667,4.831321954727173,20.01,397.40675905926526
55,lora_sim_multi2,2,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,25,30,27,83.33333333333334,8.42982292175293,19.93,227.76279143960332
56,lora_sim_multi2,3,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,23,30,25,76.66666666666667,8.346530675888062,23.26,230.035696813121
57,lora_sim_multi2,3,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,11,30,14,36.666666666666664,90.10887408256531,9.46,21.307557324939328
58,lora_sim_multi2,4,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,23,30,28,76.66666666666667,8.474102020263672,15.36,226.57267937166742
59,lora_sim_multi2,4,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,19,30,25,63.33333333333333,8.359865188598633,19.87,229.66877535519808
60,lora_sim_multi2,5,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,20,30,24,66.66666666666666,4.839402437210083,18.36,396.74319813478473
61,lora_sim_multi2,5,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,26,30,27,86.66666666666667,4.840928792953491,18.36,396.61810411150293
62,lora_sim_multi2,6,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,27,30,28,90.0,8.33406949043274,21.78,230.37964852634144
63,lora_sim_multi2,6,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,22,30,24,73.33333333333333,8.358976125717163,24.82,229.69320298606218
64,lora_sim_multi2,7,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,20,30,28,66.66666666666666,4.846408367156982,23.32,396.16966927744005
65,lora_sim_multi2,7,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,27,30,28,90.0,4.859510898590088,21.45,395.10149067822
66,lora_sim_multi2,8,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,6,30,7,20.0,90.10311031341553,7.35,21.308920339391765
67,lora_sim_multi2,8,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,16,30,26,53.333333333333336,8.414490461349487,6.76,228.17780931824564
68,lora_sim_multi2,9,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,26,30,27,86.66666666666667,8.41585373878479,11.96,228.1408469768914
69,lora_sim_multi2,9,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,22,30,26,73.33333333333333,8.297844171524048,17.62,231.3854008718216
70,lora_sim_multi2,10,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,28,30,28,93.33333333333333,4.837033748626709,16.2,396.9374827176078
71,lora_sim_multi2,10,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,23,30,25,76.66666666666667,8.431365251541138,14.99,227.72112732858423
72,lora_sim_multi2,11,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,20,30,24,66.66666666666666,8.456121921539307,19.07,227.05443675184068
73,lora_sim_multi2,11,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,6,30,12,20.0,90.10548782348633,7.05,21.308358085372298
74,lora_sim_multi2,12,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,200,0,0,0,0,0,0,23,30,25,76.66666666666667,8.240394115447998,13.0,232.99856452261653
75,lora_sim_multi2,12,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,15,1000,0,0,0,0,0,0,28,30,29,93.33333333333333,8.482688665390015,17.97,226.34333001442565
