,template,run,mean,source_data,bw,paylen,impl_head,has_crc,cr,frames,frame_period,delay_sf1,delay_sf2,delay_sf3,delay_sf4,delay_sf5,delay_sf6,num_right,num_total,num_dec,time,load
29,lora_sim_multi2,4,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,20,20,18.7918207645416,1.34
30,lora_sim_multi2,5,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,20,20,18.7840554714203,2.37
31,lora_sim_multi2,6,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,20,20,18.7044548988342,2.08
32,lora_sim_multi2,7,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,16,20,18,18.5989038944244,1.9
33,lora_sim_multi2,8,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,9,20,18,18.598635673523,1.55
34,lora_sim_multi2,9,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,10,20,17,18.5857875347137,1.51
35,lora_sim_multi2,10,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,20,20,18.5844104290009,1.17
36,lora_sim_multi2,11,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,18,20,19,18.5804057121277,1.15
37,lora_sim_multi2,12,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,18,20,19,18.5669124126434,1.04
38,lora_sim_multi2,13,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,19,20,20,18.4103858470917,1.03
39,lora_sim_multi2,14,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,20,19,18.4002306461334,1.25
40,lora_sim_multi2,15,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,18,20,19,18.3866400718689,1.11
