,template,time_wait,input_data,sf,paylen,impl_head,has_crc,cr,frames,time,data_rate,load_1min,load_5min,load_15min,num_right,num_total,num_dec,num_per,threshold,noise,avg_snr,avg_signal_power,avg_noise_power
49,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.634948968887329,176.06849655331098,1.55,1.48,1.42,9,10,9,90.0,35,6.0,8.27966161956522,812.2419679565216,120.71714828260872
50,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6225426197052,176.67148938942856,1.55,1.48,1.42,9,10,9,90.0,60,6.0,8.279040010989018,812.1758013956041,120.72480376923075
51,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.635953903198242,176.01983331995655,1.51,1.47,1.42,10,10,10,100.0,85,6.0,7.99191133333333,761.8300713222221,120.98998285555551
52,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.632340431213379,176.19493880594467,1.55,1.48,1.42,9,10,9,90.0,10,6.5,7.969272288888892,818.9577093999998,130.73350303333333
53,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.632340431213379,176.19493880594467,1.82,1.54,1.44,9,10,9,90.0,35,6.5,7.969272288888892,818.9577093999998,130.73350303333333
54,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.625072956085205,176.54817096181972,2.16,1.61,1.46,9,10,9,90.0,60,6.5,7.9717040000000035,819.0980389999996,130.68076899029128
55,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.029350996017456,158.83451221612748,2.16,1.61,1.46,9,10,9,90.0,85,6.5,7.969080933333334,818.9247565555551,130.7340820555556
56,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.9812567234039307,160.7532607072892,2.23,1.63,1.47,7,10,7,70.0,10,7.0,6.138139309523811,580.0605403333333,140.94424978571428
57,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.007605075836182,159.6963742407839,2.69,1.74,1.51,8,10,8,80.0,35,7.0,7.683547709302328,825.6701788255815,140.76928013953486
58,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.644864559173584,175.58951494897522,2.55,1.73,1.5,9,10,9,90.0,60,7.0,7.685110088888895,825.8417731777777,140.74716828888887
